ensembl_gene_id,external_gene_name,description,mgi_id,go_id
ENSMUSG00000061578,Ksr2,kinase suppressor of ras 2,3610315,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0005078;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0006468;GO:0007265;GO:0008270;GO:0016020;GO:0016301;GO:0016740;GO:0019722;GO:0031434;GO:0043410;GO:0046872;GO:0106310;GO:0120162
ENSMUSG00000040021,Lats1,large tumor suppressor,1333883,GO:0000082;GO:0000086;GO:0000166;GO:0000287;GO:0000819;GO:0000922;GO:0001827;GO:0001828;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0005813;GO:0005815;GO:0005819;GO:0005856;GO:0006468;GO:0008104;GO:0009755;GO:0016301;GO:0016740;GO:0017015;GO:0019901;GO:0030216;GO:0030331;GO:0030496;GO:0030833;GO:0033146;GO:0035329;GO:0035332;GO:0043065;GO:0043254;GO:0044546;GO:0045736;GO:0046620;GO:0046872;GO:0051301;GO:0060644;GO:0090090;GO:0098794;GO:0098978;GO:0099151;GO:0106310;GO:1900181;GO:1900227;GO:2000058
ENSMUSG00000021959,Lats2,large tumor suppressor 2,1354386,GO:0000082;GO:0000166;GO:0000922;GO:0001827;GO:0001828;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005813;GO:0005829;GO:0005856;GO:0006468;GO:0008104;GO:0009755;GO:0015630;GO:0016301;GO:0016740;GO:0017015;GO:0030216;GO:0034451;GO:0035329;GO:0035332;GO:0035556;GO:0043065;GO:0045736;GO:0046620;GO:0046872;GO:0051301;GO:0060070;GO:0090090;GO:0106310;GO:1900181;GO:1900227
ENSMUSG00000000409,Lck,lymphocyte protein tyrosine kinase,96756,GO:0000166;GO:0000242;GO:0001772;GO:0001784;GO:0003823;GO:0004672;GO:0004713;GO:0004715;GO:0004722;GO:0005102;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0005911;GO:0006468;GO:0006882;GO:0007166;GO:0007169;GO:0009410;GO:0010628;GO:0016004;GO:0016020;GO:0016301;GO:0016740;GO:0019901;GO:0019903;GO:0030217;GO:0034116;GO:0035556;GO:0038094;GO:0042110;GO:0042169;GO:0042492;GO:0042608;GO:0042609;GO:0042610;GO:0042802;GO:0043274;GO:0043410;GO:0043548;GO:0045121;GO:0045588;GO:0045589;GO:0050852;GO:0050853;GO:0050856;GO:0050870;GO:0051117;GO:0051209;GO:0051240;GO:0160162;GO:1903039;GO:1990405;GO:2001244
ENSMUSG00000029674,Limk1,LIM domain kinase 1,104572,GO:0000166;GO:0001673;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0005856;GO:0005925;GO:0006468;GO:0016020;GO:0016301;GO:0016607;GO:0016740;GO:0030027;GO:0030036;GO:0030054;GO:0031072;GO:0031625;GO:0032233;GO:0042995;GO:0043005;GO:0043149;GO:0045773;GO:0046872;GO:0048675;GO:0051496;GO:0098794;GO:0098978;GO:0106310;GO:1990948
ENSMUSG00000020451,Limk2,LIM domain kinase 2,1197517,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005801;GO:0005813;GO:0005819;GO:0005856;GO:0006468;GO:0007283;GO:0016301;GO:0016740;GO:0030036;GO:0030953;GO:0046872;GO:0048471;GO:0051650;GO:0060322;GO:0061303;GO:0072686;GO:0106310;GO:1900182;GO:1902018
ENSMUSG00000038970,Lmtk2,lemur tyrosine kinase 2,3036247,GO:0000166;GO:0001881;GO:0004672;GO:0004674;GO:0004864;GO:0005524;GO:0005737;GO:0005769;GO:0005794;GO:0006468;GO:0007399;GO:0007411;GO:0012505;GO:0016020;GO:0016301;GO:0016740;GO:0030426;GO:0032456;GO:0033572;GO:0043025;GO:0045022;GO:0048011;GO:0048471;GO:0055037;GO:0070853;GO:0106310
ENSMUSG00000062044,Lmtk3,lemur tyrosine kinase 3,3039582,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0006468;GO:0012505;GO:0016020;GO:0016301;GO:0016740;GO:0030424;GO:0030425
ENSMUSG00000056215,Lrguk,leucine-rich repeats and guanylate kinase domain containing,1921604,GO:0000166;GO:0001669;GO:0002177;GO:0004385;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005856;GO:0007283;GO:0016301;GO:0016740;GO:0030154;GO:0031410;GO:0035082;GO:0042995;GO:0046037;GO:0046710
ENSMUSG00000015133,Lrrk1,leucine-rich repeat kinase 1,2142227,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005525;GO:0005737;GO:0005739;GO:0005829;GO:0005886;GO:0006468;GO:0007165;GO:0009967;GO:0016020;GO:0016301;GO:0016740;GO:0035556;GO:0036035;GO:0042802;GO:0045453;GO:0046872;GO:0090263;GO:0106310;GO:1902533
ENSMUSG00000036273,Lrrk2,leucine-rich repeat kinase 2,1913975,GO:0000139;GO:0000149;GO:0000165;GO:0000166;GO:0000287;GO:0003779;GO:0003924;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005096;GO:0005515;GO:0005524;GO:0005525;GO:0005654;GO:0005737;GO:0005739;GO:0005741;GO:0005743;GO:0005759;GO:0005764;GO:0005768;GO:0005783;GO:0005789;GO:0005794;GO:0005798;GO:0005802;GO:0005829;GO:0005856;GO:0005886;GO:0005902;GO:0006468;GO:0006606;GO:0006897;GO:0006914;GO:0006979;GO:0007005;GO:0007029;GO:0007030;GO:0007040;GO:0007166;GO:0007254;GO:0007266;GO:0007283;GO:0007528;GO:0008021;GO:0008104;GO:0008340;GO:0009267;GO:0009653;GO:0009968;GO:0010468;GO:0010506;GO:0010508;GO:0010955;GO:0010977;GO:0014041;GO:0015631;GO:0016020;GO:0016192;GO:0016242;GO:0016301;GO:0016740;GO:0016787;GO:0017075;GO:0019722;GO:0021756;GO:0021772;GO:0022028;GO:0030154;GO:0030159;GO:0030162;GO:0030182;GO:0030276;GO:0030424;GO:0030425;GO:0030426;GO:0030672;GO:0031267;GO:0031344;GO:0031398;GO:0031410;GO:0031647;GO:0031965;GO:0031966;GO:0032436;GO:0032473;GO:0032760;GO:0032839;GO:0034211;GO:0034599;GO:0034614;GO:0035542;GO:0035556;GO:0035564;GO:0035640;GO:0035641;GO:0035751;GO:0036064;GO:0036465;GO:0036479;GO:0040012;GO:0042391;GO:0042802;GO:0042803;GO:0042995;GO:0043005;GO:0043025;GO:0043068;GO:0043195;GO:0043204;GO:0043410;GO:0044325;GO:0044753;GO:0044754;GO:0044877;GO:0045121;GO:0045202;GO:0045335;GO:0045746;GO:0046039;GO:0048312;GO:0048513;GO:0048812;GO:0050804;GO:0051018;GO:0051239;GO:0051247;GO:0051646;GO:0051900;GO:0051966;GO:0060079;GO:0060159;GO:0060161;GO:0060627;GO:0060628;GO:0060828;GO:0061001;GO:0070013;GO:0070971;GO:0070973;GO:0071287;GO:0090263;GO:0090394;GO:0097487;GO:0098794;GO:0098978;GO:0099400;GO:0099523;GO:0106310;GO:0140058;GO:0141161;GO:1900242;GO:1900244;GO:1901030;GO:1902236;GO:1902499;GO:1902531;GO:1902692;GO:1902803;GO:1902902;GO:1903215;GO:1903351;GO:1903980;GO:1904644;GO:1904713;GO:1904887;GO:1905279;GO:1905289;GO:1990904;GO:1990909;GO:2000172;GO:2000300;GO:2000377
ENSMUSG00000027297,Ltk,leukocyte tyrosine kinase,96840,GO:0000166;GO:0004672;GO:0004713;GO:0004714;GO:0005524;GO:0005783;GO:0005886;GO:0006468;GO:0007169;GO:0008283;GO:0010666;GO:0010976;GO:0016020;GO:0016301;GO:0016740;GO:0030298;GO:0038083;GO:0042127;GO:0043066;GO:0043235;GO:0045664;GO:0051897;GO:0071300
ENSMUSG00000042228,Lyn,"LYN proto-oncogene, Src family tyrosine kinase",96892,GO:0000077;GO:0000166;GO:0000902;GO:0001782;GO:0001817;GO:0001933;GO:0002244;GO:0002250;GO:0002376;GO:0002431;GO:0002513;GO:0002553;GO:0002576;GO:0002762;GO:0002768;GO:0002774;GO:0002902;GO:0004672;GO:0004713;GO:0004715;GO:0005102;GO:0005128;GO:0005161;GO:0005178;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005794;GO:0005829;GO:0005886;GO:0005912;GO:0006468;GO:0006914;GO:0006952;GO:0006954;GO:0006974;GO:0006991;GO:0007169;GO:0008284;GO:0008285;GO:0009410;GO:0009636;GO:0009725;GO:0009743;GO:0009898;GO:0010976;GO:0014003;GO:0015908;GO:0016020;GO:0016192;GO:0016301;GO:0016740;GO:0017124;GO:0018108;GO:0019899;GO:0030061;GO:0030097;GO:0030218;GO:0030222;GO:0030335;GO:0030546;GO:0030889;GO:0031175;GO:0031625;GO:0031663;GO:0031966;GO:0032868;GO:0032991;GO:0033003;GO:0033628;GO:0034136;GO:0034142;GO:0034144;GO:0034605;GO:0034666;GO:0035556;GO:0038043;GO:0038159;GO:0042100;GO:0042327;GO:0042541;GO:0043015;GO:0043200;GO:0043208;GO:0043304;GO:0043407;GO:0043410;GO:0043434;GO:0044325;GO:0044877;GO:0045087;GO:0045121;GO:0045646;GO:0046777;GO:0046875;GO:0048013;GO:0048471;GO:0048678;GO:0050727;GO:0050853;GO:0050855;GO:0050859;GO:0051219;GO:0051279;GO:0060252;GO:0060369;GO:0070372;GO:0070373;GO:0070447;GO:0070667;GO:0070668;GO:0071300;GO:0090025;GO:0090330;GO:0097028;GO:0097110;GO:0098978;GO:0099091;GO:0140031;GO:0141038;GO:0150076;GO:1902532;GO:1902993;GO:1903078;GO:2000670
ENSMUSG00000021363,Mak,male germ cell-associated kinase,96913,GO:0000165;GO:0000166;GO:0001750;GO:0001784;GO:0001917;GO:0003713;GO:0004672;GO:0004674;GO:0004707;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005730;GO:0005737;GO:0005769;GO:0005770;GO:0005794;GO:0005813;GO:0005819;GO:0005829;GO:0005856;GO:0005886;GO:0005901;GO:0005925;GO:0005929;GO:0005930;GO:0006468;GO:0016301;GO:0016740;GO:0030496;GO:0031143;GO:0031514;GO:0031663;GO:0032391;GO:0032872;GO:0035556;GO:0036064;GO:0042073;GO:0042473;GO:0042995;GO:0043330;GO:0045494;GO:0045893;GO:0046777;GO:0046872;GO:0051493;GO:0060020;GO:0060271;GO:0061308;GO:0070161;GO:0072584;GO:0072686;GO:0090170;GO:0097542;GO:0106310;GO:1902856;GO:1905515;GO:2000641
ENSMUSG00000004936,Map2k1,mitogen-activated protein kinase kinase 1,1346866,GO:0000165;GO:0000166;GO:0003056;GO:0004672;GO:0004674;GO:0004708;GO:0004712;GO:0004713;GO:0005078;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005769;GO:0005770;GO:0005783;GO:0005794;GO:0005813;GO:0005829;GO:0005856;GO:0005874;GO:0005886;GO:0005925;GO:0005938;GO:0006468;GO:0006979;GO:0007507;GO:0008285;GO:0008286;GO:0010508;GO:0010628;GO:0010629;GO:0014044;GO:0014069;GO:0016020;GO:0016301;GO:0016740;GO:0019901;GO:0021697;GO:0021953;GO:0030182;GO:0030216;GO:0030295;GO:0030335;GO:0030424;GO:0030425;GO:0030878;GO:0031267;GO:0031435;GO:0032402;GO:0032839;GO:0032872;GO:0032968;GO:0034111;GO:0035987;GO:0036064;GO:0038133;GO:0042552;GO:0043204;GO:0043410;GO:0043539;GO:0044342;GO:0044877;GO:0045893;GO:0045933;GO:0046579;GO:0047496;GO:0048009;GO:0048313;GO:0048471;GO:0048538;GO:0048678;GO:0048679;GO:0048812;GO:0048870;GO:0050772;GO:0051384;GO:0060020;GO:0060324;GO:0060425;GO:0060440;GO:0060502;GO:0060674;GO:0060711;GO:0070328;GO:0070371;GO:0070372;GO:0070374;GO:0090170;GO:0090398;GO:0097110;GO:0098696;GO:0098978;GO:0106310;GO:1903226;GO:1903298;GO:2000641;GO:2001171
ENSMUSG00000035027,Map2k2,mitogen-activated protein kinase kinase 2,1346867,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004708;GO:0004712;GO:0004713;GO:0005078;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005739;GO:0005769;GO:0005770;GO:0005783;GO:0005794;GO:0005829;GO:0005874;GO:0005911;GO:0005925;GO:0006468;GO:0007507;GO:0009898;GO:0010628;GO:0014044;GO:0016020;GO:0016301;GO:0016740;GO:0030165;GO:0030878;GO:0031982;GO:0032872;GO:0038133;GO:0042552;GO:0043539;GO:0045893;GO:0046872;GO:0048009;GO:0048471;GO:0048538;GO:0048679;GO:0050772;GO:0060090;GO:0060324;GO:0060425;GO:0060440;GO:0060502;GO:0070161;GO:0070371;GO:0090170;GO:0097110;GO:0106310;GO:2000147;GO:2000641
ENSMUSG00000018932,Map2k3,mitogen-activated protein kinase kinase 3,1346868,GO:0000165;GO:0000166;GO:0001817;GO:0004672;GO:0004674;GO:0004708;GO:0004713;GO:0005515;GO:0005524;GO:0006468;GO:0006954;GO:0016301;GO:0016740;GO:0019901;GO:0031098;GO:0035331;GO:0035924;GO:0038066;GO:0043410;GO:0043536;GO:0045893;GO:0051604;GO:0060048;GO:0070269;GO:0071493;GO:0106310;GO:1904784
ENSMUSG00000033352,Map2k4,mitogen-activated protein kinase kinase 4,1346869,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004708;GO:0004713;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0006468;GO:0006915;GO:0009611;GO:0016301;GO:0016740;GO:0033554;GO:0034390;GO:0035556;GO:0036481;GO:0043410;GO:0071260;GO:0106310;GO:2000672
ENSMUSG00000058444,Map2k5,mitogen-activated protein kinase kinase 5,1346345,GO:0000122;GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004708;GO:0004713;GO:0005515;GO:0005524;GO:0005737;GO:0005819;GO:0006468;GO:0007507;GO:0016301;GO:0016740;GO:0030307;GO:0032717;GO:0034115;GO:0034392;GO:0043124;GO:0045944;GO:0046872;GO:0048009;GO:0050679;GO:0051247;GO:0060761;GO:0070375;GO:0071363;GO:0090051;GO:0106310;GO:2000342;GO:2001240
ENSMUSG00000020623,Map2k6,mitogen-activated protein kinase kinase 6,1346870,GO:0000165;GO:0000166;GO:0001649;GO:0004672;GO:0004674;GO:0004708;GO:0004713;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0005856;GO:0006468;GO:0006915;GO:0016301;GO:0016740;GO:0019901;GO:0031098;GO:0038066;GO:0043410;GO:0051403;GO:0051604;GO:0060048;GO:0060348;GO:0070269;GO:0071493;GO:0106310;GO:0120163;GO:1904784
ENSMUSG00000002948,Map2k7,mitogen-activated protein kinase kinase 7,1346871,GO:0000165;GO:0000166;GO:0000287;GO:0004672;GO:0004674;GO:0004707;GO:0004708;GO:0004713;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0006468;GO:0006915;GO:0006950;GO:0006970;GO:0007254;GO:0008545;GO:0009408;GO:0009411;GO:0009611;GO:0016301;GO:0016740;GO:0019899;GO:0019901;GO:0019903;GO:0032206;GO:0034612;GO:0043523;GO:0045893;GO:0046330;GO:0046872;GO:0051403;GO:0070374;GO:0071222;GO:0071347;GO:0106310;GO:2000671
ENSMUSG00000021754,Map3k1,mitogen-activated protein kinase kinase kinase 1,1346872,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004706;GO:0005524;GO:0006468;GO:0008270;GO:0016301;GO:0016740;GO:0019901;GO:0043410;GO:0046872;GO:0070160;GO:0071260;GO:0110053
ENSMUSG00000040390,Map3k10,mitogen-activated protein kinase kinase kinase 10,1346879,GO:0000165;GO:0000166;GO:0003714;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0007165;GO:0007224;GO:0016301;GO:0016740;GO:0043065;GO:0043425;GO:0045892;GO:0046330;GO:0106310
ENSMUSG00000004054,Map3k11,mitogen-activated protein kinase kinase kinase 11,1346880,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0005813;GO:0005856;GO:0005874;GO:0006468;GO:0007017;GO:0007254;GO:0016301;GO:0016740;GO:0031267;GO:0031434;GO:0031435;GO:0042802;GO:0042803;GO:0043065;GO:0043525;GO:0044843;GO:0046330;GO:0106310
ENSMUSG00000023050,Map3k12,mitogen-activated protein kinase kinase kinase 12,1346881,GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0006468;GO:0007254;GO:0016020;GO:0016301;GO:0016740;GO:0018105;GO:0018107;GO:0019901;GO:0030424;GO:0030426;GO:0042803;GO:0043539;GO:0043687;GO:0045893;GO:0046777;GO:0070374;GO:0106310;GO:2000672
ENSMUSG00000033618,Map3k13,mitogen-activated protein kinase kinase kinase 13,2444243,GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005524;GO:0005737;GO:0006468;GO:0007254;GO:0014042;GO:0016020;GO:0016301;GO:0016740;GO:0019899;GO:0042802;GO:0042803;GO:0043539;GO:0045773;GO:0046777;GO:0046872;GO:0051092;GO:0051403;GO:0106137;GO:0106310;GO:0150012;GO:1905492
ENSMUSG00000020941,Map3k14,mitogen-activated protein kinase kinase kinase 14,1858204,GO:0000165;GO:0000166;GO:0001650;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005654;GO:0005737;GO:0005829;GO:0006468;GO:0006955;GO:0016301;GO:0016740;GO:0038061;GO:0051607;GO:0071260;GO:0106310
ENSMUSG00000031303,Map3k15,mitogen-activated protein kinase kinase kinase 15,2448588,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005524;GO:0006468;GO:0007254;GO:0016301;GO:0016740;GO:0038066;GO:0046872;GO:0106310
ENSMUSG00000051590,Map3k19,mitogen-activated protein kinase kinase kinase 19,1203481,GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0006468;GO:0007165;GO:0016301;GO:0016740;GO:0035556;GO:0106310
ENSMUSG00000024383,Map3k2,mitogen-activated protein kinase kinase kinase 2,1346873,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005654;GO:0005829;GO:0006468;GO:0016301;GO:0016740;GO:0019901;GO:0035556;GO:0071260
ENSMUSG00000004085,Map3k20,mitogen-activated protein kinase kinase kinase 20,2443258,GO:0000077;GO:0000165;GO:0000166;GO:0000287;GO:0003723;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005634;GO:0005737;GO:0005829;GO:0006468;GO:0006954;GO:0007010;GO:0007254;GO:0016301;GO:0016740;GO:0019843;GO:0030295;GO:0031098;GO:0035556;GO:0038066;GO:0042733;GO:0043022;GO:0043065;GO:0043068;GO:0046777;GO:0046872;GO:0051403;GO:0060173;GO:0070181;GO:0070269;GO:0071480;GO:0071493;GO:0106310;GO:0140469;GO:1904291
ENSMUSG00000031853,Map3k21,mitogen-activated protein kinase kinase kinase 21,2385307,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0007165;GO:0016301;GO:0016740;GO:0106310
ENSMUSG00000020700,Map3k3,mitogen-activated protein kinase kinase kinase 3,1346874,GO:0000165;GO:0000166;GO:0001568;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0016301;GO:0016740;GO:0035556;GO:0043123;GO:0046872;GO:0106310;GO:1900745
ENSMUSG00000014426,Map3k4,mitogen-activated protein kinase kinase kinase 4,1346875,GO:0000165;GO:0000166;GO:0001890;GO:0004672;GO:0004674;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0010225;GO:0010468;GO:0016301;GO:0016740;GO:0019100;GO:0032206;GO:0035556;GO:0038066;GO:0043507;GO:0046872;GO:0048471;GO:0060718;GO:0106310;GO:1900745
ENSMUSG00000071369,Map3k5,mitogen-activated protein kinase kinase kinase 5,1346876,GO:0000165;GO:0000166;GO:0000287;GO:0002376;GO:0002931;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0005783;GO:0006468;GO:0006915;GO:0007254;GO:0008631;GO:0009897;GO:0010666;GO:0016301;GO:0016740;GO:0019901;GO:0019903;GO:0019904;GO:0032991;GO:0034198;GO:0034976;GO:0035556;GO:0036480;GO:0038066;GO:0042802;GO:0042803;GO:0043065;GO:0043067;GO:0043410;GO:0045087;GO:0045663;GO:0045893;GO:0046330;GO:0046872;GO:0051402;GO:0051403;GO:0070059;GO:0070301;GO:0071356;GO:0072577;GO:0097190;GO:0097300;GO:0106310;GO:1900745;GO:1902170;GO:1902911;GO:1904707;GO:1990604
ENSMUSG00000028862,Map3k6,mitogen-activated protein kinase kinase kinase 6,1855691,GO:0000165;GO:0000166;GO:0000287;GO:0004672;GO:0004674;GO:0004709;GO:0005524;GO:0006468;GO:0016301;GO:0016740;GO:0046872
ENSMUSG00000028284,Map3k7,mitogen-activated protein kinase kinase kinase 7,1346877,GO:0000165;GO:0000166;GO:0000287;GO:0001223;GO:0001525;GO:0001649;GO:0001666;GO:0001841;GO:0002726;GO:0004672;GO:0004674;GO:0004707;GO:0004708;GO:0004709;GO:0005102;GO:0005114;GO:0005515;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0006338;GO:0006468;GO:0006915;GO:0006954;GO:0006955;GO:0007165;GO:0007179;GO:0007249;GO:0007252;GO:0007254;GO:0008349;GO:0010508;GO:0010629;GO:0014069;GO:0016020;GO:0016239;GO:0016301;GO:0016740;GO:0019901;GO:0023019;GO:0030971;GO:0031146;GO:0031625;GO:0032743;GO:0034142;GO:0035173;GO:0038061;GO:0038066;GO:0038172;GO:0038173;GO:0042742;GO:0042770;GO:0042802;GO:0043123;GO:0043124;GO:0043276;GO:0043410;GO:0043507;GO:0045787;GO:0045793;GO:0046330;GO:0046872;GO:0051403;GO:0060348;GO:0060546;GO:0070498;GO:0071356;GO:0071456;GO:0071560;GO:0097110;GO:0097190;GO:0106310;GO:0120283;GO:0140297;GO:0140672;GO:1900016;GO:1901224;GO:1902443;GO:1904385;GO:1904707;GO:1904754;GO:1990450;GO:1990776;GO:2000377;GO:2000378;GO:2001234
ENSMUSG00000024235,Map3k8,mitogen-activated protein kinase kinase kinase 8,1346878,GO:0000165;GO:0000166;GO:0000287;GO:0002376;GO:0004672;GO:0004674;GO:0004709;GO:0005524;GO:0005737;GO:0005829;GO:0006468;GO:0007165;GO:0016301;GO:0016740;GO:0046872;GO:0050729;GO:0106310
ENSMUSG00000042724,Map3k9,mitogen-activated protein kinase kinase kinase 9,2449952,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004706;GO:0004709;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0006915;GO:0007165;GO:0016301;GO:0016740;GO:0043065;GO:0106310
ENSMUSG00000037337,Map4k1,mitogen-activated protein kinase kinase kinase kinase 1,1346882,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0007254;GO:0008283;GO:0008349;GO:0016301;GO:0016740;GO:0018105;GO:0035556;GO:0043410;GO:0046777;GO:0106310;GO:1904628
ENSMUSG00000024948,Map4k2,mitogen-activated protein kinase kinase kinase kinase 2,1346883,GO:0000139;GO:0000165;GO:0000166;GO:0002376;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005794;GO:0005886;GO:0006468;GO:0006903;GO:0008349;GO:0016020;GO:0016301;GO:0016323;GO:0016740;GO:0031435;GO:0035556;GO:0045087;GO:0046330;GO:0106310
ENSMUSG00000024242,Map4k3,mitogen-activated protein kinase kinase kinase kinase 3,2154405,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0005515;GO:0005524;GO:0005737;GO:0006468;GO:0008349;GO:0009411;GO:0016301;GO:0016740;GO:0034612;GO:0035556;GO:0106310
ENSMUSG00000026074,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,1349394,GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0010977;GO:0016301;GO:0016740;GO:0061179;GO:0070571
ENSMUSG00000034761,Map4k5,mitogen-activated protein kinase kinase kinase kinase 5,1925503,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0005524;GO:0005737;GO:0005829;GO:0005886;GO:0005929;GO:0006468;GO:0008349;GO:0016301;GO:0016740;GO:0035556;GO:0106310
ENSMUSG00000063358,Mapk1,mitogen-activated protein kinase 1,1346858,GO:0000165;GO:0000166;GO:0001784;GO:0001890;GO:0004672;GO:0004674;GO:0004707;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0005769;GO:0005770;GO:0005794;GO:0005813;GO:0005819;GO:0005829;GO:0005856;GO:0005886;GO:0005901;GO:0005925;GO:0005929;GO:0006351;GO:0006357;GO:0006468;GO:0006915;GO:0006974;GO:0007166;GO:0007173;GO:0007507;GO:0008286;GO:0008353;GO:0009887;GO:0010759;GO:0014032;GO:0014044;GO:0015630;GO:0016020;GO:0016301;GO:0016740;GO:0018105;GO:0018107;GO:0019858;GO:0019902;GO:0030278;GO:0030641;GO:0030878;GO:0031143;GO:0031647;GO:0031663;GO:0032206;GO:0032496;GO:0032872;GO:0033598;GO:0034198;GO:0035094;GO:0035556;GO:0036064;GO:0038127;GO:0038133;GO:0042473;GO:0042552;GO:0042802;GO:0043330;GO:0045542;GO:0045596;GO:0048009;GO:0048538;GO:0050852;GO:0050853;GO:0051090;GO:0051403;GO:0051493;GO:0060020;GO:0060291;GO:0060324;GO:0060425;GO:0060440;GO:0060716;GO:0061308;GO:0061514;GO:0070161;GO:0070371;GO:0070849;GO:0071356;GO:0071375;GO:0072584;GO:0072686;GO:0090170;GO:0106310;GO:0120041;GO:0150078;GO:2000641
ENSMUSG00000046709,Mapk10,mitogen-activated protein kinase 10,1346863,GO:0000165;GO:0000166;GO:0004672;GO:0004674;GO:0004705;GO:0004707;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0006468;GO:0007254;GO:0016301;GO:0016740;GO:0042752;GO:0048511;GO:0106310
ENSMUSG00000053137,Mapk11,mitogen-activated protein kinase 11,1338024,GO:0000165;GO:0000166;GO:0001649;GO:0004672;GO:0004674;GO:0004707;GO:0005515;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005829;GO:0006468;GO:0010628;GO:0016301;GO:0016740;GO:0031098;GO:0032735;GO:0035556;GO:0038066;GO:0051403;GO:0051604;GO:0060038;GO:0060043;GO:0060044;GO:0060348;GO:0070269;GO:0071347;GO:0071493;GO:0098586;GO:0106310;GO:1904784
ENSMUSG00000022610,Mapk12,mitogen-activated protein kinase 12,1353438,GO:0000165;GO:0000166;GO:0000287;GO:0004672;GO:0004674;GO:0004707;GO:0005524;GO:0005634;GO:0005654;GO:0005737;GO:0005739;GO:0006468;GO:0016301;GO:0016740;GO:0035556;GO:0045445;GO:0045786;GO:0046872;GO:0106310
