"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"JAK3","JAK3","ENSG00000105639","Janus kinase 3","Jak family tyrosine kinases","Y","N","N","HGNC:6193","JAK3","TK","JakA",NA,NA,NA,NA,NA
"KALRN","KALRN","ENSG00000160145","kalirin RhoGEF kinase",NA,"N","N","N","HGNC:4814","KALRN",NA,NA,NA,NA,NA,NA,NA
"KDR","KDR","ENSG00000128052","kinase insert domain receptor","Receptor tyrosine kinases","Y","N","N","HGNC:6307","KDR","TK","VEGFR",NA,NA,NA,NA,NA
"KHK","KHK","ENSG00000138030","ketohexokinase",NA,"N","Y","N","HGNC:6315","KHK",NA,NA,NA,NA,NA,NA,NA
"KIT","KIT","ENSG00000157404","KIT proto-oncogene, receptor tyrosine kinase","Receptor tyrosine kinases","Y","Y","N","HGNC:6342","KIT","TK","PDGFR",NA,NA,NA,NA,NA
"KSR1","KSR1","ENSG00000141068","kinase suppressor of ras 1",NA,"N","N","N","HGNC:6465","KSR1","TKL","RAF",NA,NA,NA,NA,NA
"KSR2","KSR2","ENSG00000171435","kinase suppressor of ras 2",NA,"N","N","N","HGNC:18610","KSR2","TKL","RAF",NA,NA,NA,NA,NA
"LATS1","LATS1","ENSG00000131023","large tumor suppressor kinase 1","Large tumor suppressor kinase family","Y","N","N","HGNC:6514","LATS1","AGC","NDR",NA,NA,NA,NA,NA
"LATS2","LATS2","ENSG00000150457","large tumor suppressor kinase 2","Large tumor suppressor kinase family","Y","N","N","HGNC:6515","LATS2","AGC","NDR",NA,NA,NA,NA,NA
"LCK","LCK","ENSG00000182866","LCK proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","N","HGNC:6524","LCK","TK","Src",NA,NA,NA,NA,NA
"LIMK1","LIMK1","ENSG00000106683","LIM domain kinase 1","LIMK/TESK kinase family","Y","N","N","HGNC:6613","LIMK1","TKL","LISK","LIMK",NA,NA,NA,NA
"LIMK2","LIMK2","ENSG00000182541","LIM domain kinase 2","LIMK/TESK kinase family","Y","N","N","HGNC:6614","LIMK2","TKL","LISK","LIMK",NA,NA,NA,NA
"LMTK2","LMTK2","ENSG00000164715","lemur tyrosine kinase 2","Receptor tyrosine kinases","Y","N","N","HGNC:17880","LMTK2",NA,NA,NA,NA,NA,NA,NA
"LMTK3","LMTK3","ENSG00000142235","lemur tyrosine kinase 3","Receptor tyrosine kinases","Y","N","N","HGNC:19295","LMTK3",NA,NA,NA,NA,NA,NA,NA
"LRGUK","LRGUK","ENSG00000155530","leucine rich repeats and guanylate kinase domain containing",NA,"N","N","N","HGNC:21964","LRGUK",NA,NA,NA,NA,NA,NA,NA
"LRRK1","LRRK1","ENSG00000154237","leucine rich repeat kinase 1",NA,"N","N","N","HGNC:18608","LRRK1","TKL","LRRK",NA,NA,NA,NA,NA
"LRRK2","LRRK2","ENSG00000188906","leucine rich repeat kinase 2",NA,"N","N","N","HGNC:18618","LRRK2","TKL","LRRK",NA,NA,NA,NA,NA
"LTK","LTK","ENSG00000062524","leukocyte receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:6721","LTK","TK","Alk",NA,NA,NA,NA,NA
"LYN","LYN","ENSG00000254087","LYN proto-oncogene, Src family tyrosine kinase","Src family tyrosine kinases","Y","N","Y","HGNC:6735","LYN","TK","Src",NA,NA,NA,NA,NA
"MAGI2","MAGI2","ENSG00000187391","membrane associated guanylate kinase, WW and PDZ domain containing 2","Membrane associated guanylate kinases","Y","N","N","HGNC:18957","MAGI2",NA,NA,NA,NA,NA,NA,NA
"MAK","MAK","ENSG00000111837","male germ cell associated kinase","CILK1, MAK, MOK protein kinase family","Y","N","N","HGNC:6816","MAK","CMGC","RCK",NA,NA,NA,NA,NA
"MAP2K1","MAP2K1","ENSG00000169032","mitogen-activated protein kinase kinase 1","Mitogen-activated protein kinase kinases","Y","Y","Y","HGNC:6840","MAP2K1","STE","STE7",NA,NA,NA,NA,NA
"MAP2K2","MAP2K2","ENSG00000126934","mitogen-activated protein kinase kinase 2","Mitogen-activated protein kinase kinases","Y","Y","Y","HGNC:6842","MAP2K2","STE","STE7",NA,NA,NA,NA,NA
"MAP2K3","MAP2K3","ENSG00000034152","mitogen-activated protein kinase kinase 3","Mitogen-activated protein kinase kinases","Y","N","Y","HGNC:6843","MAP2K3","STE","STE7",NA,NA,NA,NA,NA
"MAP2K4","MAP2K4","ENSG00000065559","mitogen-activated protein kinase kinase 4","Mitogen-activated protein kinase kinases","Y","N","Y","HGNC:6844","MAP2K4","STE","STE7",NA,NA,NA,NA,NA
"MAP2K5","MAP2K5","ENSG00000137764","mitogen-activated protein kinase kinase 5","Mitogen-activated protein kinase kinases","Y","N","N","HGNC:6845","MAP2K5","STE","STE7",NA,NA,NA,NA,NA
"MAP2K6","MAP2K6","ENSG00000108984","mitogen-activated protein kinase kinase 6","Mitogen-activated protein kinase kinases","Y","N","Y","HGNC:6846","MAP2K6","STE","STE7",NA,NA,NA,NA,NA
"MAP2K7","MAP2K7","ENSG00000076984","mitogen-activated protein kinase kinase 7","Mitogen-activated protein kinase kinases","Y","N","Y","HGNC:6847","MAP2K7","STE","STE7",NA,NA,NA,NA,NA
"MAP3K1","MAP3K1","ENSG00000095015","mitogen-activated protein kinase kinase kinase 1","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6848","MAP3K1","STE","STE11",NA,NA,NA,NA,NA
"MAP3K10","MAP3K10","ENSG00000130758","mitogen-activated protein kinase kinase kinase 10","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6849","MAP3K10","STE","STE11",NA,NA,NA,NA,NA
"MAP3K11","MAP3K11","ENSG00000173327","mitogen-activated protein kinase kinase kinase 11","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6850","MAP3K11","STE","STE11",NA,NA,NA,NA,NA
"MAP3K12","MAP3K12","ENSG00000139625","mitogen-activated protein kinase kinase kinase 12","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6851","MAP3K12","STE","STE11",NA,NA,NA,NA,NA
"MAP3K13","MAP3K13","ENSG00000073803","mitogen-activated protein kinase kinase kinase 13","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6852","MAP3K13","STE","STE11",NA,NA,NA,NA,NA
"MAP3K14","MAP3K14","ENSG00000006062","mitogen-activated protein kinase kinase kinase 14","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6853","MAP3K14","STE","STE11",NA,NA,NA,NA,NA
"MAP3K15","MAP3K15","ENSG00000180815","mitogen-activated protein kinase kinase kinase 15","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:31689","MAP3K15","STE","STE11",NA,NA,NA,NA,NA
"MAP3K19","MAP3K19","ENSG00000176601","mitogen-activated protein kinase kinase kinase 19","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:26249","MAP3K19","STE","STE11",NA,NA,NA,NA,NA
"MAP3K2","MAP3K2","ENSG00000169967","mitogen-activated protein kinase kinase kinase 2","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6854","MAP3K2","STE","STE11",NA,NA,NA,NA,NA
"MAP3K20","MAP3K20","ENSG00000091436","mitogen-activated protein kinase kinase kinase 20","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:17797","MAP3K20","STE","STE11",NA,NA,NA,NA,NA
"MAP3K21","MAP3K21","ENSG00000143674","mitogen-activated protein kinase kinase kinase 21","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:29798","MAP3K21","STE","STE11",NA,NA,NA,NA,NA
"MAP3K3","MAP3K3","ENSG00000198909","mitogen-activated protein kinase kinase kinase 3","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6855","MAP3K3","STE","STE11",NA,NA,NA,NA,NA
"MAP3K4","MAP3K4","ENSG00000085511","mitogen-activated protein kinase kinase kinase 4","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6856","MAP3K4","STE","STE11",NA,NA,NA,NA,NA
"MAP3K5","MAP3K5","ENSG00000197442","mitogen-activated protein kinase kinase kinase 5","Mitogen-activated protein kinase kinase kinases","Y","N","Y","HGNC:6857","MAP3K5","STE","STE11",NA,NA,NA,NA,NA
"MAP3K6","MAP3K6","ENSG00000142733","mitogen-activated protein kinase kinase kinase 6","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6858","MAP3K6","STE","STE11",NA,NA,NA,NA,NA
"MAP3K7","MAP3K7","ENSG00000135341","mitogen-activated protein kinase kinase kinase 7","Mitogen-activated protein kinase kinase kinases","Y","N","Y","HGNC:6859","MAP3K7","STE","STE11",NA,NA,NA,NA,NA
"MAP3K8","MAP3K8","ENSG00000107968","mitogen-activated protein kinase kinase kinase 8","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6860","MAP3K8","STE","STE11",NA,NA,NA,NA,NA
"MAP3K9","MAP3K9","ENSG00000006432","mitogen-activated protein kinase kinase kinase 9","Mitogen-activated protein kinase kinase kinases","Y","N","N","HGNC:6861","MAP3K9",NA,NA,NA,NA,NA,NA,NA
"MAP4K1","MAP4K1","ENSG00000104814","mitogen-activated protein kinase kinase kinase kinase 1","Mitogen-activated protein kinase kinase kinase kinases","Y","N","N","HGNC:6863","MAP4K1",NA,NA,NA,NA,NA,NA,NA
"MAP4K2","MAP4K2","ENSG00000168067","mitogen-activated protein kinase kinase kinase kinase 2","Mitogen-activated protein kinase kinase kinase kinases","Y","N","N","HGNC:6864","MAP4K2",NA,NA,NA,NA,NA,NA,NA
"MAP4K3","MAP4K3","ENSG00000011566","mitogen-activated protein kinase kinase kinase kinase 3","Mitogen-activated protein kinase kinase kinase kinases","Y","N","N","HGNC:6865","MAP4K3",NA,NA,NA,NA,NA,NA,NA
"MAP4K4","MAP4K4","ENSG00000071054","mitogen-activated protein kinase kinase kinase kinase 4","Mitogen-activated protein kinase kinase kinase kinases","Y","N","N","HGNC:6866","MAP4K4",NA,NA,NA,NA,NA,NA,NA
"MAP4K5","MAP4K5","ENSG00000012983","mitogen-activated protein kinase kinase kinase kinase 5","Mitogen-activated protein kinase kinase kinase kinases","Y","N","N","HGNC:6867","MAP4K5",NA,NA,NA,NA,NA,NA,NA
"MAPK1","MAPK1","ENSG00000100030","mitogen-activated protein kinase 1","Mitogen-activated protein kinases","Y","Y","Y","HGNC:6871","MAPK1",NA,NA,NA,NA,NA,NA,NA
"MAPK10","MAPK10","ENSG00000109339","mitogen-activated protein kinase 10","Mitogen-activated protein kinases","Y","Y","Y","HGNC:6872","MAPK10",NA,NA,NA,NA,NA,NA,NA
"MAPK11","MAPK11","ENSG00000185386","mitogen-activated protein kinase 11","Mitogen-activated protein kinases","Y","N","Y","HGNC:6873","MAPK11",NA,NA,NA,NA,NA,NA,NA
"MAPK12","MAPK12","ENSG00000188130","mitogen-activated protein kinase 12","Mitogen-activated protein kinases","Y","N","Y","HGNC:6874","MAPK12",NA,NA,NA,NA,NA,NA,NA
"MAPK13","MAPK13","ENSG00000156711","mitogen-activated protein kinase 13","Mitogen-activated protein kinases","Y","N","Y","HGNC:6875","MAPK13",NA,NA,NA,NA,NA,NA,NA
"MAPK14","MAPK14","ENSG00000112062","mitogen-activated protein kinase 14","Mitogen-activated protein kinases","Y","N","Y","HGNC:6876","MAPK14",NA,NA,NA,NA,NA,NA,NA
"MAPK15","MAPK15","ENSG00000181085","mitogen-activated protein kinase 15","Mitogen-activated protein kinases","Y","N","N","HGNC:24667","MAPK15",NA,NA,NA,NA,NA,NA,NA
"MAPK3","MAPK3","ENSG00000102882","mitogen-activated protein kinase 3","Mitogen-activated protein kinases","Y","Y","Y","HGNC:6877","MAPK3",NA,NA,NA,NA,NA,NA,NA
"MAPK4","MAPK4","ENSG00000141639","mitogen-activated protein kinase 4","Mitogen-activated protein kinases","Y","N","N","HGNC:6878","MAPK4",NA,NA,NA,NA,NA,NA,NA
"MAPK6","MAPK6","ENSG00000069956","mitogen-activated protein kinase 6","Mitogen-activated protein kinases","Y","N","N","HGNC:6879","MAPK6",NA,NA,NA,NA,NA,NA,NA
"MAPK7","MAPK7","ENSG00000166484","mitogen-activated protein kinase 7","Mitogen-activated protein kinases","Y","N","N","HGNC:6880","MAPK7",NA,NA,NA,NA,NA,NA,NA
"MAPK8","MAPK8","ENSG00000107643","mitogen-activated protein kinase 8","Mitogen-activated protein kinases","Y","Y","Y","HGNC:6881","MAPK8",NA,NA,NA,NA,NA,NA,NA
"MAPK9","MAPK9","ENSG00000050748","mitogen-activated protein kinase 9","Mitogen-activated protein kinases","Y","Y","Y","HGNC:6886","MAPK9",NA,NA,NA,NA,NA,NA,NA
"MAPKAPK2","MAPKAPK2","ENSG00000162889","MAPK activated protein kinase 2","MAPK activated protein kinases","Y","N","N","HGNC:6887","MAPKAPK2","CAMK","MAPKAPK","MAPKAPK",NA,NA,NA,NA
"MAPKAPK3","MAPKAPK3","ENSG00000114738","MAPK activated protein kinase 3","MAPK activated protein kinases","Y","N","N","HGNC:6888","MAPKAPK3","CAMK","MAPKAPK","MAPKAPK",NA,NA,NA,NA
"MAPKAPK5","MAPKAPK5","ENSG00000089022","MAPK activated protein kinase 5","MAPK activated protein kinases","Y","N","N","HGNC:6889","MAPKAPK5","CAMK","MAPKAPK","MAPKAPK",NA,NA,NA,NA
"MARK1","MARK1","ENSG00000116141","microtubule affinity regulating kinase 1","Microtubule affinity regulating kinases","Y","N","N","HGNC:6896","MARK1","CAMK","CAMKL","MARK",NA,NA,NA,NA
"MARK2","MARK2","ENSG00000072518","microtubule affinity regulating kinase 2","Microtubule affinity regulating kinases","Y","N","N","HGNC:3332","MARK2","CAMK","CAMKL","MARK",NA,NA,NA,NA
"MARK3","MARK3","ENSG00000075413","microtubule affinity regulating kinase 3","Microtubule affinity regulating kinases","Y","N","N","HGNC:6897","MARK3","CAMK","CAMKL","MARK",NA,NA,NA,NA
"MARK4","MARK4","ENSG00000007047","microtubule affinity regulating kinase 4","Microtubule affinity regulating kinases","Y","N","N","HGNC:13538","MARK4","CAMK","CAMKL","MARK",NA,NA,NA,NA
"MAST1","MAST1","ENSG00000105613","microtubule associated serine/threonine kinase 1","Microtubule associated serine/threonine kinase family","Y","N","N","HGNC:19034","MAST1","AGC","MAST",NA,NA,NA,NA,NA
"MAST2","MAST2","ENSG00000086015","microtubule associated serine/threonine kinase 2","Microtubule associated serine/threonine kinase family","Y","N","N","HGNC:19035","MAST2","AGC","MAST",NA,NA,NA,NA,NA
"MAST3","MAST3","ENSG00000099308","microtubule associated serine/threonine kinase 3","Microtubule associated serine/threonine kinase family","Y","N","N","HGNC:19036","MAST3","AGC","MAST",NA,NA,NA,NA,NA
"MAST4","MAST4","ENSG00000069020","microtubule associated serine/threonine kinase family member 4","Microtubule associated serine/threonine kinase family","Y","N","N","HGNC:19037","MAST4","AGC","MAST",NA,NA,NA,NA,NA
"MASTL","MASTL","ENSG00000120539","microtubule associated serine/threonine kinase like","Microtubule associated serine/threonine kinase family","Y","N","N","HGNC:19042","MASTL","AGC","MAST",NA,NA,NA,NA,NA
"MATK","MATK","ENSG00000007264","megakaryocyte-associated tyrosine kinase","Csk family tyrosine kinases","Y","N","N","HGNC:6906","MATK",NA,NA,NA,NA,NA,NA,NA
"MELK","MELK","ENSG00000165304","maternal embryonic leucine zipper kinase","MELK family kinases","Y","N","N","HGNC:16870","MELK","CAMK","CAMKL","MELK",NA,NA,NA,NA
"MERTK","MERTK","ENSG00000153208","MER proto-oncogene, tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:7027","MERTK","TK","Axl",NA,NA,NA,NA,NA
"MET","MET","ENSG00000105976","MET proto-oncogene, receptor tyrosine kinase","Receptor tyrosine kinases","Y","Y","N","HGNC:7029","MET","TK","Met",NA,NA,NA,NA,NA
"MINK1","MINK1","ENSG00000141503","misshapen like kinase 1",NA,"N","N","N","HGNC:17565","MINK1",NA,NA,NA,NA,NA,NA,NA
"MKNK1","MKNK1","ENSG00000079277","MAPK interacting serine/threonine kinase 1","MAPK activated protein kinases","Y","N","N","HGNC:7110","MKNK1",NA,NA,NA,NA,NA,NA,NA
"MKNK2","MKNK2","ENSG00000099875","MAPK interacting serine/threonine kinase 2","MAPK activated protein kinases","Y","N","N","HGNC:7111","MKNK2",NA,NA,NA,NA,NA,NA,NA
"MLKL","MLKL","ENSG00000168404","mixed lineage kinase domain like pseudokinase",NA,"N","N","N","HGNC:26617","MLKL","TKL","TKL-Unique",NA,NA,NA,NA,NA
"MMD","MMD","ENSG00000108960","monocyte to macrophage differentiation associated",NA,"N","N","N","HGNC:7153","MMD",NA,NA,NA,NA,NA,NA,NA
"MMD2","MMD2","ENSG00000136297","monocyte to macrophage differentiation associated 2",NA,"N","N","N","HGNC:30133","MMD2",NA,NA,NA,NA,NA,NA,NA
"MOK","MOK","ENSG00000080823","MOK protein kinase","CILK1, MAK, MOK protein kinase family","Y","N","N","HGNC:9833","MOK","CMGC","RCK",NA,NA,NA,NA,NA
"MOS","MOS","ENSG00000172680","MOS proto-oncogene, serine/threonine kinase",NA,"N","N","N","HGNC:7199","MOS","Other","MOS",NA,NA,NA,NA,NA
"MST1R","MST1R","ENSG00000164078","macrophage stimulating 1 receptor","Receptor tyrosine kinases","Y","N","N","HGNC:7381","MST1R","STE","STE20","MST",NA,NA,NA,NA
"MTOR","MTOR","ENSG00000198793","mechanistic target of rapamycin kinase",NA,"N","Y","N","HGNC:3942","MTOR",NA,NA,NA,NA,NA,NA,NA
"MUSK","MUSK","ENSG00000030304","muscle associated receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:7525","MUSK","TK","Musk",NA,NA,NA,NA,NA
"MVK","MVK","ENSG00000110921","mevalonate kinase",NA,"N","N","N","HGNC:7530","MVK",NA,NA,NA,NA,NA,NA,NA
"MYLK","MYLK","ENSG00000065534","myosin light chain kinase","Myosin light chain kinase family","Y","N","N","HGNC:7590","MYLK",NA,NA,NA,NA,NA,NA,NA
"MYLK2","MYLK2","ENSG00000101306","myosin light chain kinase 2","Myosin light chain kinase family","Y","N","N","HGNC:16243","MYLK2",NA,NA,NA,NA,NA,NA,NA
"MYLK3","MYLK3","ENSG00000140795","myosin light chain kinase 3","Myosin light chain kinase family","Y","N","N","HGNC:29826","MYLK3",NA,NA,NA,NA,NA,NA,NA
"MYLK4","MYLK4","ENSG00000145949","myosin light chain kinase family member 4","Myosin light chain kinase family","Y","N","N","HGNC:27972","MYLK4",NA,NA,NA,NA,NA,NA,NA
"MYO3A","MYO3A","ENSG00000095777","myosin IIIA",NA,"N","N","N","HGNC:7601","MYO3A","STE","STE20","NinaC",NA,NA,NA,NA
"MYO3B","MYO3B","ENSG00000071909","myosin IIIB",NA,"N","N","N","HGNC:15576","MYO3B","STE","STE20","NinaC",NA,NA,NA,NA
"NADK","NADK","ENSG00000008130","NAD kinase",NA,"N","Y","N","HGNC:29831","NADK",NA,NA,NA,NA,NA,NA,NA
"NADK2","NADK2","ENSG00000152620","NAD kinase 2, mitochondrial",NA,"N","Y","N","HGNC:26404","NADK2",NA,NA,NA,NA,NA,NA,NA
"NAGK","NAGK","ENSG00000124357","N-acetylglucosamine kinase",NA,"N","Y","N","HGNC:17174","NAGK",NA,NA,NA,NA,NA,NA,NA
"NEK1","NEK1","ENSG00000137601","NIMA related kinase 1","NIMA related kinase family","Y","N","N","HGNC:7744","NEK1","Other","NEK",NA,NA,NA,NA,NA
"NEK10","NEK10","ENSG00000163491","NIMA related kinase 10","NIMA related kinase family","Y","N","N","HGNC:18592","NEK10","Other","NEK",NA,NA,NA,NA,NA
"NEK11","NEK11","ENSG00000114670","NIMA related kinase 11","NIMA related kinase family","Y","N","N","HGNC:18593","NEK11","Other","NEK",NA,NA,NA,NA,NA
"NEK2","NEK2","ENSG00000117650","NIMA related kinase 2","NIMA related kinase family","Y","N","N","HGNC:7745","NEK2","Other","NEK",NA,NA,NA,NA,NA
"NEK3","NEK3","ENSG00000136098","NIMA related kinase 3","NIMA related kinase family","Y","N","N","HGNC:7746","NEK3","Other","NEK",NA,NA,NA,NA,NA
"NEK4","NEK4","ENSG00000114904","NIMA related kinase 4","NIMA related kinase family","Y","N","N","HGNC:11399","NEK4","Other","NEK",NA,NA,NA,NA,NA
"NEK5","NEK5","ENSG00000197168","NIMA related kinase 5","NIMA related kinase family","Y","N","N","HGNC:7748","NEK5","Other","NEK",NA,NA,NA,NA,NA
"NEK6","NEK6","ENSG00000119408","NIMA related kinase 6","NIMA related kinase family","Y","N","N","HGNC:7749","NEK6","Other","NEK",NA,NA,NA,NA,NA
"NEK7","NEK7","ENSG00000151414","NIMA related kinase 7","NIMA related kinase family","Y","N","N","HGNC:13386","NEK7","Other","NEK",NA,NA,NA,NA,NA
"NEK8","NEK8","ENSG00000160602","NIMA related kinase 8","NIMA related kinase family","Y","N","N","HGNC:13387","NEK8","Other","NEK",NA,NA,NA,NA,NA
"NEK9","NEK9","ENSG00000119638","NIMA related kinase 9","NIMA related kinase family","Y","N","N","HGNC:18591","NEK9","Other","NEK",NA,NA,NA,NA,NA
"NIM1K","NIM1K","ENSG00000177453","NIM1 serine/threonine protein kinase","NIM1K family kinases","Y","N","N","HGNC:28646","NIM1K","CAMK","CAMKL","NIM1",NA,NA,NA,NA
"NLK","NLK","ENSG00000087095","nemo like kinase","Mitogen-activated protein kinases","Y","N","N","HGNC:29858","NLK","CMGC","MAPK","nmo",NA,NA,NA,NA
"NME1","NME1","ENSG00000239672","NME/NM23 nucleoside diphosphate kinase 1",NA,"N","Y","N","HGNC:7849","NME1",NA,NA,NA,NA,NA,NA,NA
"NME1-NME2","NME1-NME2","ENSG00000011052","NME1-NME2 readthrough",NA,"N","Y","N","HGNC:33531","NME1-NME2",NA,NA,NA,NA,NA,NA,NA
"NME2","NME2","ENSG00000243678","NME/NM23 nucleoside diphosphate kinase 2",NA,"N","Y","N","HGNC:7850","NME2",NA,NA,NA,NA,NA,NA,NA
"NME3","NME3","ENSG00000103024","NME/NM23 nucleoside diphosphate kinase 3",NA,"N","Y","N","HGNC:7851","NME3",NA,NA,NA,NA,NA,NA,NA
"NME4","NME4","ENSG00000103202","NME/NM23 nucleoside diphosphate kinase 4",NA,"N","Y","N","HGNC:7852","NME4",NA,NA,NA,NA,NA,NA,NA
"NME6","NME6","ENSG00000172113","NME/NM23 nucleoside diphosphate kinase 6",NA,"N","Y","N","HGNC:20567","NME6",NA,NA,NA,NA,NA,NA,NA
"NME7","NME7","ENSG00000143156","NME/NM23 family member 7",NA,"N","Y","N","HGNC:20461","NME7",NA,NA,NA,NA,NA,NA,NA
"NMRK1","NMRK1","ENSG00000106733","nicotinamide riboside kinase 1",NA,"N","Y","N","HGNC:26057","NMRK1",NA,NA,NA,NA,NA,NA,NA
"NMRK2","NMRK2","ENSG00000077009","nicotinamide riboside kinase 2",NA,"N","Y","N","HGNC:17871","NMRK2",NA,NA,NA,NA,NA,NA,NA
"NOL9","NOL9","ENSG00000162408","nucleolar protein 9",NA,"N","N","N","HGNC:26265","NOL9",NA,NA,NA,NA,NA,NA,NA
"NPR1","NPR1","ENSG00000169418","natriuretic peptide receptor 1",NA,"N","Y","N","HGNC:7943","NPR1",NA,NA,NA,"RGC","RGC",NA,"ENSG00000169418"
"NPR2","NPR2","ENSG00000159899","natriuretic peptide receptor 2",NA,"N","Y","N","HGNC:7944","NPR2",NA,NA,NA,"RGC","RGC",NA,"ENSG00000159899"
"NRBP1","NRBP1","ENSG00000115216","nuclear receptor binding protein 1",NA,"N","N","N","HGNC:7993","NRBP1","Other","NRBP",NA,NA,NA,NA,NA
"NRBP2","NRBP2","ENSG00000185189","nuclear receptor binding protein 2",NA,"N","N","N","HGNC:19339","NRBP2","Other","NRBP",NA,NA,NA,NA,NA
"NRK","NRK","ENSG00000123572","Nik related kinase",NA,"N","N","N","HGNC:25391","NRK",NA,NA,NA,NA,NA,NA,NA
"NTRK1","NTRK1","ENSG00000198400","neurotrophic receptor tyrosine kinase 1","Receptor tyrosine kinases","Y","Y","N","HGNC:8031","NTRK1",NA,NA,NA,NA,NA,NA,NA
"NTRK2","NTRK2","ENSG00000148053","neurotrophic receptor tyrosine kinase 2","Receptor tyrosine kinases","Y","N","N","HGNC:8032","NTRK2",NA,NA,NA,NA,NA,NA,NA
"NTRK3","NTRK3","ENSG00000140538","neurotrophic receptor tyrosine kinase 3","Receptor tyrosine kinases","Y","Y","N","HGNC:8033","NTRK3",NA,NA,NA,NA,NA,NA,NA
"NUAK1","NUAK1","ENSG00000074590","NUAK family kinase 1","NUAK family kinases","Y","N","N","HGNC:14311","NUAK1","CAMK","CAMKL","NuaK",NA,NA,NA,NA
"NUAK2","NUAK2","ENSG00000163545","NUAK family kinase 2","NUAK family kinases","Y","N","N","HGNC:29558","NUAK2","CAMK","CAMKL","NuaK",NA,NA,NA,NA
"OBSCN","OBSCN","ENSG00000154358","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","Myosin light chain kinase family","Y","N","N","HGNC:15719","OBSCN","CAMK","Trio",NA,NA,NA,NA,NA
"OXSR1","OXSR1","ENSG00000172939","oxidative stress responsive kinase 1",NA,"N","N","N","HGNC:8508","OXSR1",NA,NA,NA,NA,NA,NA,NA
"PACSIN1","PACSIN1","ENSG00000124507","protein kinase C and casein kinase substrate in neurons 1",NA,"N","N","N","HGNC:8570","PACSIN1",NA,NA,NA,NA,NA,NA,NA
"PAK1","PAK1","ENSG00000149269","p21 (RAC1) activated kinase 1",NA,"N","N","N","HGNC:8590","PAK1","STE","STE20","PAKA",NA,NA,NA,NA
"PAK2","PAK2","ENSG00000180370","p21 (RAC1) activated kinase 2",NA,"N","N","N","HGNC:8591","PAK2","STE","STE20","PAKA",NA,NA,NA,NA
"PAK3","PAK3","ENSG00000077264","p21 (RAC1) activated kinase 3",NA,"N","N","N","HGNC:8592","PAK3","STE","STE20","PAKA",NA,NA,NA,NA
"PAK4","PAK4","ENSG00000130669","p21 (RAC1) activated kinase 4",NA,"N","N","N","HGNC:16059","PAK4","STE","STE20","PAKB",NA,NA,NA,NA
"PAK5","PAK5","ENSG00000101349","p21 (RAC1) activated kinase 5",NA,"N","N","N","HGNC:15916","PAK5","STE","STE20","PAKB",NA,NA,NA,NA
"PAK6","PAK6","ENSG00000137843","p21 (RAC1) activated kinase 6",NA,"N","N","N","HGNC:16061","PAK6","STE","STE20","PAKB",NA,NA,NA,NA
"PALLD","PALLD","ENSG00000129116","palladin, cytoskeletal associated protein",NA,"N","N","N","HGNC:17068","PALLD",NA,NA,NA,NA,NA,NA,NA
"PAN3","PAN3","ENSG00000152520","poly(A) specific ribonuclease subunit PAN3",NA,"N","N","N","HGNC:29991","PAN3",NA,NA,NA,NA,NA,NA,NA
"PANK1","PANK1","ENSG00000152782","pantothenate kinase 1","Pantothenate kinase family","Y","N","N","HGNC:8598","PANK1",NA,NA,NA,NA,NA,NA,NA
"PANK2","PANK2","ENSG00000125779","pantothenate kinase 2","Pantothenate kinase family","Y","N","N","HGNC:15894","PANK2",NA,NA,NA,NA,NA,NA,NA
"PANK3","PANK3","ENSG00000120137","pantothenate kinase 3","Pantothenate kinase family","Y","N","N","HGNC:19365","PANK3",NA,NA,NA,NA,NA,NA,NA
"PAPSS1","PAPSS1","ENSG00000138801","3'-phosphoadenosine 5'-phosphosulfate synthase 1",NA,"N","Y","N","HGNC:8603","PAPSS1",NA,NA,NA,NA,NA,NA,NA
"PAPSS2","PAPSS2","ENSG00000198682","3'-phosphoadenosine 5'-phosphosulfate synthase 2",NA,"N","Y","N","HGNC:8604","PAPSS2",NA,NA,NA,NA,NA,NA,NA
