HGNC_symbol,HGNC_ID,Ensembl_ID,Ensembl_ID_status,Name_hgnc,Group_hgnc,Group_ID_hgnc,Status_hgnc,Locus_type_hgnc,DBD_lambert,TF_assessment_lambert,InLambert,GO_TF_biomart,InGO_TF,JASPAR_matrix_ids,InJASPAR,Mouse_Symbol,Ensembl_Mouse
NME2,,ENSG00000243678,lambert,,Lambert TF Census (not in HGNC groups),,,,Unknown,Likely to be sequence specific TF,Y,,N,,N,Nme2,ENSMUSG00000020857
NOBOX,,ENSG00000106410,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0003700;GO:0006357;GO:0005634;GO:0030154;GO:0000978;GO:0000981;GO:0043565;GO:0048477;GO:0000785,Y,,N,Nobox,ENSMUSG00000029736
NOTCH1,HGNC:7881,ENSG00000148400,hgnc,notch receptor 1,Notch receptors,1689,Approved,gene with protein product,,,N,,N,,N,Notch1,ENSMUSG00000026923
NOTCH2,HGNC:7882,ENSG00000134250,hgnc,notch receptor 2,Notch receptors,1689,Approved,gene with protein product,,,N,,N,,N,Notch2,ENSMUSG00000027878
NOTCH3,HGNC:7883,ENSG00000074181,hgnc,notch receptor 3,Notch receptors,1689,Approved,gene with protein product,,,N,,N,,N,Notch3,ENSMUSG00000038146
NOTCH4,HGNC:7884,ENSG00000204301,hgnc,notch receptor 4,Notch receptors,1689,Approved,gene with protein product,,,N,,N,,N,,
NOTO,,ENSG00000214513,confirmed,,Lambert TF Census (not in HGNC groups),,,,Homeodomain,Known motif,Y,GO:0003677;GO:0005634;GO:0005515;GO:0000978;GO:0000981;GO:0006357;GO:0000785;GO:1990837;GO:0007420;GO:0001947;GO:0007368;GO:0009880;GO:0009953;GO:0030903;GO:0044458;GO:1902017;GO:0007417;GO:0030182,Y,,N,Noto,ENSMUSG00000068302
NPAS1,HGNC:7894,ENSG00000130751,confirmed,neuronal PAS domain protein 1,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0006355;GO:0005515;GO:0046983;GO:0005634;GO:0003677;GO:0000981;GO:0006357;GO:0046982;GO:0045892;GO:0000977;GO:0000785;GO:0007417;GO:0003700;GO:0000122;GO:0001964;GO:0042711,Y,,N,Npas1,ENSMUSG00000001988
NPAS2,HGNC:7895,ENSG00000170485,confirmed,neuronal PAS domain protein 2,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0005634;GO:0005737;GO:0003700;GO:0005667;GO:0046983;GO:0000981;GO:0032922;GO:0005829;GO:0005654;GO:0046872;GO:0048511;GO:0003677;GO:0005515;GO:0010468;GO:0006974;GO:0045893;GO:0045739;GO:0000978;GO:0006357;GO:0009410;GO:0000785;GO:1990837;GO:0051775;GO:0007417;GO:0051879;GO:1990513;GO:2000987,Y,,N,Npas2,ENSMUSG00000026077
NPAS3,HGNC:19311,ENSG00000151322,confirmed,neuronal PAS domain protein 3,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0006355;GO:0005515;GO:0046983;GO:0005634;GO:0005654;GO:0003677;GO:0045893;GO:0000981;GO:0006357;GO:0046982;GO:0000977;GO:0000785,Y,,N,Npas3,ENSMUSG00000021010
NPAS4,HGNC:18983,ENSG00000174576,confirmed,neuronal PAS domain protein 4,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Inferred motif,Y,GO:0005515;GO:0046983;GO:0005634;GO:0007399;GO:0005829;GO:0003677;GO:0000981;GO:0005654;GO:0030154;GO:0098794;GO:0045944;GO:0006357;GO:0046982;GO:0048167;GO:0007612;GO:0035176;GO:0000977;GO:0000785;GO:0005667;GO:0000978;GO:0001228;GO:0007616;GO:1904862;GO:0032228;GO:0007614;GO:0060080;GO:0060079;GO:0033554;GO:0045893;GO:0071386;GO:0044877,Y,,N,Npas4,ENSMUSG00000045903
NR0B1,HGNC:7960,ENSG00000169297,lambert,nuclear receptor subfamily 0 group B member 1,Nuclear receptor subfamily 0 group B,2068,Approved,gene with protein product,Unknown,Known motif,Y,,N,,N,Nr0b1,ENSMUSG00000025056
NR0B2,HGNC:7961,ENSG00000131910,hgnc,nuclear receptor subfamily 0 group B member 2,Nuclear receptor subfamily 0 group B,2068,Approved,gene with protein product,,,N,,N,,N,Nr0b2,ENSMUSG00000037583
NR1D1,HGNC:7962,ENSG00000126368,confirmed,nuclear receptor subfamily 1 group D member 1,Nuclear receptor subfamily 1 group D,2072,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0042995;GO:0043197;GO:0045202;GO:0046872;GO:0048511;GO:0003677;GO:0005515;GO:0016604;GO:0030425;GO:0005654;GO:0030154;GO:0045893;GO:0001222;GO:0000978;GO:0020037;GO:0045892;GO:0030518;GO:0005978;GO:0000976;GO:0010498;GO:0043124;GO:0042632;GO:0050728;GO:0000122;GO:0031648;GO:0042752;GO:0032922;GO:0000981;GO:0000785;GO:0019216;GO:0001227;GO:1990837;GO:0045944;GO:0150079;GO:0071347;GO:0071356;GO:0007623;GO:0070888;GO:0042749;GO:0044321;GO:0045598;GO:0060086;GO:0061178;GO:0061469;GO:0061889;GO:0070859;GO:0120163;GO:1903979;GO:0071222;GO:0001678;GO:0009755;GO:0003707;GO:0004879;GO:0030522;GO:0000977;GO:0034144,Y,,N,Nr1d1,ENSMUSG00000020889
NR1D2,HGNC:7963,ENSG00000174738,confirmed,nuclear receptor subfamily 1 group D member 2,Nuclear receptor subfamily 1 group D,2072,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0005654;GO:0046872;GO:0048511;GO:0003677;GO:0005515;GO:0045893;GO:0000978;GO:0045892;GO:0004879;GO:0000122;GO:0042752;GO:0000981;GO:0000785;GO:0030154;GO:0019216;GO:0097009;GO:1990837;GO:0045944;GO:0048512;GO:0050727;GO:0000987;GO:0001227;GO:0050728;GO:0055088;GO:2001014;GO:0009755;GO:0030522;GO:0010468;GO:0080090;GO:0000976,Y,,N,Nr1d2,ENSMUSG00000021775
NR1H2,HGNC:7965,ENSG00000131408,confirmed,nuclear receptor subfamily 1 group H member 2,Nuclear receptor subfamily 1 group H,2083,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0004879;GO:0006629;GO:0005634;GO:0046872;GO:0005515;GO:0000981;GO:0005654;GO:0045893;GO:0045944;GO:0000978;GO:0042632;GO:0000122;GO:1903573;GO:0000785;GO:0030154;GO:0090575;GO:0005829;GO:0001228;GO:0050728;GO:0010745;GO:0010867;GO:0010887;GO:0032369;GO:0045723;GO:0048550;GO:0120163;GO:0042789;GO:0005737;GO:0051117;GO:0030522;GO:0045892;GO:0009755;GO:0034191;GO:0010875;GO:0036151;GO:0032376;GO:0060336;GO:0010883;GO:1902895;GO:0006357;GO:0031490;GO:0046965;GO:0010628;GO:0010629;GO:0010884;GO:0031667;GO:0045861;GO:0048384;GO:0055088;GO:0090108;GO:0090187;GO:0090340,Y,,N,Nr1h2,ENSMUSG00000060601
NR1H3,HGNC:7966,ENSG00000025434,confirmed,nuclear receptor subfamily 1 group H member 3,Nuclear receptor subfamily 1 group H,2083,Approved,gene with protein product,Nuclear receptor,Inferred motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0004879;GO:0006629;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0046872;GO:0000981;GO:0030522;GO:0006357;GO:0010745;GO:0010867;GO:0010887;GO:0032369;GO:0045723;GO:0048550;GO:0005515;GO:0045893;GO:0045944;GO:0000978;GO:0042632;GO:0000122;GO:1903573;GO:0000785;GO:0030154;GO:0043277;GO:0090575;GO:0050728;GO:0071222;GO:0120163;GO:0042789;GO:0000976;GO:0043235;GO:0015485;GO:0010875;GO:0032570;GO:0009755;GO:0046889;GO:0070328;GO:0055088;GO:0036151;GO:0032376;GO:0043031;GO:0034145;GO:0060336;GO:0010883;GO:0032810;GO:0042752;GO:0055092;GO:0090188;GO:0090341;GO:0045892;GO:0001228;GO:0031490;GO:0045861,Y,,N,Nr1h3,ENSMUSG00000002108
NR1H4,HGNC:7967,ENSG00000012504,confirmed,nuclear receptor subfamily 1 group H member 4,Nuclear receptor subfamily 1 group H,2083,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0004879;GO:0032052;GO:0038183;GO:0005634;GO:0016607;GO:0005829;GO:0005654;GO:0046872;GO:0005515;GO:0043066;GO:0010558;GO:0002376;GO:0045087;GO:0001228;GO:0045944;GO:0000978;GO:0000976;GO:0006954;GO:0043124;GO:0035356;GO:0006357;GO:0000122;GO:0043235;GO:0000981;GO:0000785;GO:0030154;GO:0032720;GO:0090575;GO:0032689;GO:0050728;GO:0038186;GO:0038185;GO:0070328;GO:1903413;GO:0001221;GO:0016922;GO:0071398;GO:0042632;GO:0032740;GO:0045893;GO:0015721;GO:0000977;GO:0030522;GO:0061178;GO:0000791;GO:0090181;GO:0010903;GO:1902122;GO:0010988;GO:0034255;GO:0070857;GO:1905695;GO:2000213;GO:0006366;GO:0007219;GO:0008206;GO:0046965;GO:0001678;GO:0007043;GO:0010804;GO:0032692;GO:0032703;GO:0032715;GO:0034162;GO:0035774;GO:0042593;GO:0042742;GO:0046628;GO:0055089;GO:0071222;GO:0071638;GO:1904179;GO:2001250;GO:0006629,Y,,N,Nr1h4,ENSMUSG00000047638
NR1H5P,HGNC:32673,ENSG00000227970,hgnc,"nuclear receptor subfamily 1 group H member 5, pseudogene",Nuclear receptor subfamily 1 group H,2083,Approved,pseudogene,,,N,,N,,N,,
NR1I2,HGNC:7968,ENSG00000144852,confirmed,nuclear receptor subfamily 1 group I member 2,Nuclear receptor subfamily 1 group I,2084,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0016604;GO:0030522;GO:0045893;GO:0045111;GO:0000978;GO:0004879;GO:0006805;GO:0000122;GO:0042178;GO:0000981;GO:0000785;GO:0030154;GO:1990837;GO:0045944;GO:0001228;GO:0071219;GO:0042908;GO:0010467;GO:0010628;GO:0007165;GO:0000977;GO:0045892;GO:0016922;GO:0008202;GO:0060729;GO:0005667,Y,,N,Nr1i2,ENSMUSG00000022809
NR1I3,HGNC:7969,ENSG00000143257,confirmed,nuclear receptor subfamily 1 group I member 3,Nuclear receptor subfamily 1 group I,2084,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0005654;GO:0046872;GO:0005856;GO:0003677;GO:0005515;GO:0004879;GO:0000978;GO:0000122;GO:0000981;GO:0000785;GO:0030154;GO:1990837;GO:0045944;GO:0001228;GO:0007165;GO:0000977;GO:0030522;GO:0045892;GO:0001649;GO:0005829,Y,,N,Nr1i3,ENSMUSG00000005677
NR2C1,HGNC:7971,ENSG00000120798,confirmed,nuclear receptor subfamily 2 group C member 1,Nuclear receptor subfamily 2 group C,2073,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0016605;GO:0046872;GO:0003677;GO:0030522;GO:0005654;GO:0000122;GO:0005515;GO:0000978;GO:0006357;GO:0030518;GO:0000981;GO:0000785;GO:0030154;GO:1990837;GO:0001227;GO:0042803;GO:0042826;GO:0045892;GO:0048386;GO:0038023;GO:0003707;GO:0004879,Y,,N,Nr2c1,ENSMUSG00000005897
NR2C2,HGNC:7972,ENSG00000177463,confirmed,nuclear receptor subfamily 2 group C member 2,Nuclear receptor subfamily 2 group C,2073,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0030522;GO:0030154;GO:0007283;GO:0000122;GO:0045944;GO:0000978;GO:0000981;GO:0000785;GO:1990837;GO:0001228;GO:0007399;GO:0043123;GO:0033209;GO:0046330;GO:0000977;GO:0004879;GO:0040019,Y,,N,Nr2c2,ENSMUSG00000005893
NR2E1,HGNC:7973,ENSG00000112333,confirmed,nuclear receptor subfamily 2 group E member 1,Nuclear receptor subfamily 2 group E,2074,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0007399;GO:0046872;GO:0003677;GO:0005515;GO:0000981;GO:0030522;GO:0005654;GO:0045944;GO:0000978;GO:1990837;GO:0030518;GO:0000122;GO:0000785;GO:0030154;GO:0001525;GO:0006915;GO:0007405;GO:0008283;GO:0021953;GO:0048708;GO:0061351;GO:0001662;GO:0002052;GO:0002118;GO:0007420;GO:0007601;GO:0008284;GO:0021542;GO:0021764;GO:0021772;GO:0021819;GO:0021872;GO:0021895;GO:0021960;GO:0021987;GO:0030198;GO:0035019;GO:0035176;GO:0043010;GO:0043066;GO:0043615;GO:0045165;GO:0045665;GO:0045766;GO:0045787;GO:0048712;GO:0048814;GO:0060041;GO:0060164;GO:0060291;GO:0090049;GO:2000178;GO:0001227;GO:0001228;GO:0019899;GO:0042826;GO:2000179;GO:2000648;GO:0003707;GO:0004879,Y,,N,Nr2e1,ENSMUSG00000019803
NR2E3,HGNC:7974,ENSG00000278570,confirmed,nuclear receptor subfamily 2 group E member 3,Nuclear receptor subfamily 2 group E,2074,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0046872;GO:0003677;GO:0005654;GO:0003707;GO:0005515;GO:0030522;GO:0045944;GO:0000978;GO:0030518;GO:0007601;GO:0001228;GO:0030182;GO:0007165;GO:0007602;GO:0004879;GO:0008283;GO:0000122;GO:0008285;GO:0010628;GO:0042462;GO:0060041;GO:0005667,Y,,N,Nr2e3,ENSMUSG00000032292
NR2F1,HGNC:7975,ENSG00000175745,confirmed,nuclear receptor subfamily 2 group F member 1,Nuclear receptor subfamily 2 group F,2075,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005515;GO:0005634;GO:0005829;GO:0005654;GO:0046872;GO:0003677;GO:0030522;GO:0000122;GO:0000978;GO:0030154;GO:0001227;GO:1990837;GO:0007399;GO:0007165;GO:0004879;GO:0044323;GO:0010977;GO:0045944,Y,,N,Nr2f1,ENSMUSG00000069171
NR2F2,HGNC:7976,ENSG00000185551,confirmed,nuclear receptor subfamily 2 group F member 2,Nuclear receptor subfamily 2 group F,2075,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0005515;GO:0005634;GO:0005829;GO:0005654;GO:0046872;GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0030522;GO:0045893;GO:0042803;GO:0000122;GO:0000978;GO:0004879;GO:0030154;GO:0008585;GO:0007399;GO:0045944;GO:0006357;GO:0001227;GO:1900747;GO:0010596;GO:0001937;GO:0001972;GO:0060838;GO:0001701;GO:0001764;GO:0001893;GO:0007519;GO:0009566;GO:0009952;GO:0009956;GO:0030900;GO:0048514;GO:0060674;GO:0060707;GO:1904936;GO:0001945;GO:0003084;GO:0032355,Y,,N,Nr2f2,ENSMUSG00000030551
NR2F6,HGNC:7977,ENSG00000160113,confirmed,nuclear receptor subfamily 2 group F member 6,Nuclear receptor subfamily 2 group F,2075,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0046872;GO:0003677;GO:0005515;GO:0030522;GO:0005654;GO:0000122;GO:0005739;GO:0000978;GO:0000981;GO:0000785;GO:0030154;GO:1990837;GO:0007399;GO:0043153;GO:0048666;GO:0050965;GO:0001227;GO:0004879,Y,,N,Nr2f6,ENSMUSG00000002393
NR3C1,HGNC:7978,ENSG00000113580,confirmed,nuclear receptor subfamily 3 group C member 1,Nuclear receptor subfamily 3 group C,2076,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0005634;GO:0005496;GO:0003700;GO:0043565;GO:0004883;GO:0042921;GO:0005515;GO:0003723;GO:0005737;GO:0016607;GO:0006915;GO:0005829;GO:0005654;GO:0046872;GO:0051301;GO:0005739;GO:0005856;GO:0005694;GO:0045202;GO:0008289;GO:0005819;GO:0045893;GO:0006325;GO:0005813;GO:0001228;GO:0045944;GO:0032991;GO:0006357;GO:0045892;GO:1990837;GO:0007059;GO:0051879;GO:0004879;GO:0019901;GO:0071383;GO:0000981;GO:0000785;GO:0031958;GO:0051384;GO:1901654;GO:0000978;GO:0001227;GO:0000122;GO:0006111;GO:0008211;GO:0009611;GO:0010467;GO:0030325;GO:0031946;GO:0042711;GO:0043525;GO:0051414;GO:0060603;GO:0042802;GO:1990841;GO:0014004;GO:0035249;GO:0048708;GO:0061744;GO:0150076;GO:1902895;GO:0016020;GO:0071385;GO:0007165;GO:0000977;GO:0034056;GO:0017025;GO:0001046;GO:1990239;GO:0030518;GO:0071549;GO:0071560;GO:0005759,Y,,N,Nr3c1,ENSMUSG00000024431
NR3C2,HGNC:7979,ENSG00000151623,confirmed,nuclear receptor subfamily 3 group C member 2,Nuclear receptor subfamily 3 group C,2076,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0005737;GO:0016020;GO:0005654;GO:0046872;GO:0003677;GO:0005515;GO:0005783;GO:0005789;GO:0007165;GO:0008289;GO:0006357;GO:0005496;GO:1990837;GO:0032870;GO:0000981;GO:0000785;GO:0033993;GO:0005829;GO:0043235;GO:0003707;GO:0004879;GO:0034056;GO:1901224;GO:0017025;GO:0030518,Y,,N,Nr3c2,ENSMUSG00000031618
NR4A1,HGNC:7980,ENSG00000123358,confirmed,nuclear receptor subfamily 4 group A member 1,Nuclear receptor subfamily 4 group A,2079,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0005634;GO:0003700;GO:0043565;GO:0004879;GO:0005737;GO:0016607;GO:0031965;GO:0005829;GO:0005654;GO:0046872;GO:0001650;GO:0005739;GO:0005515;GO:0000981;GO:0030522;GO:0001228;GO:0045944;GO:0000978;GO:0006357;GO:0046982;GO:0000785;GO:0006954;GO:0005667;GO:1990837;GO:0045444;GO:0001938;GO:0007165;GO:0001530;GO:0032497;GO:0045786;GO:0002042;GO:0035767;GO:0035924;GO:0160075;GO:0044344;GO:0061469;GO:0035259;GO:0071376;GO:0006366;GO:0006606;GO:0006915;GO:0035914;GO:0042116;GO:0043065;GO:0045893;GO:0003690;GO:0042802;GO:0010468,Y,,N,Nr4a1,ENSMUSG00000023034
NR4A2,HGNC:7981,ENSG00000153234,confirmed,nuclear receptor subfamily 4 group A member 2,Nuclear receptor subfamily 4 group A,2079,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0005634;GO:0003700;GO:0043565;GO:0004879;GO:0005737;GO:0016607;GO:0046872;GO:0005515;GO:0030522;GO:0001228;GO:0045944;GO:0000978;GO:0000981;GO:0006357;GO:0046982;GO:0006351;GO:0000785;GO:0005654;GO:0005667;GO:1990837;GO:0045444;GO:0006366;GO:0051402;GO:0001666;GO:0001764;GO:0001975;GO:0007399;GO:0008344;GO:0009791;GO:0010467;GO:0010468;GO:0021952;GO:0021953;GO:0021986;GO:0034599;GO:0042053;GO:0042416;GO:0042417;GO:0042551;GO:0043524;GO:0043576;GO:0045893;GO:0051866;GO:0000977;GO:0035259;GO:0071376;GO:0071542;GO:0060070;GO:1904948;GO:0008013;GO:0000122;GO:0046965;GO:2001234;GO:0032991,Y,,N,Nr4a2,ENSMUSG00000026826
NR4A3,HGNC:7982,ENSG00000119508,confirmed,nuclear receptor subfamily 4 group A member 3,Nuclear receptor subfamily 4 group A,2079,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0005634;GO:0003700;GO:0043565;GO:0004879;GO:1904707;GO:0046872;GO:0005515;GO:0030522;GO:0005654;GO:0035556;GO:0043303;GO:0042803;GO:0000122;GO:0001228;GO:0045944;GO:0000978;GO:0000981;GO:0006357;GO:0030518;GO:0019901;GO:0000785;GO:0005667;GO:0048661;GO:0007369;GO:0097009;GO:0045444;GO:0050679;GO:0048008;GO:0003707;GO:0010613;GO:0010828;GO:1904754;GO:0032765;GO:0048660;GO:0035726;GO:0061469;GO:0035259;GO:0071376;GO:0045333;GO:0044320;GO:0035497;GO:0038097;GO:0071870;GO:1900625;GO:2000253;GO:0034390;GO:0051402;GO:0097048;GO:0001707;GO:0007411;GO:0021766;GO:0030534;GO:0034392;GO:0042472;GO:0042542;GO:0043524;GO:0045787;GO:0048752;GO:0050885;GO:0060005;GO:2000670;GO:0001216;GO:0001223;GO:0035035;GO:0045893,Y,,N,Nr4a3,ENSMUSG00000028341
NR5A1,HGNC:7983,ENSG00000136931,confirmed,nuclear receptor subfamily 5 group A member 1,Nuclear receptor subfamily 5 group A,2080,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0004879;GO:0005634;GO:0019899;GO:0005829;GO:0005654;GO:0046872;GO:0005515;GO:0000981;GO:0030522;GO:0008289;GO:0045944;GO:0000978;GO:0006357;GO:0010628;GO:0005543;GO:0000785;GO:1990837;GO:0090575;GO:0008584;GO:0008585;GO:0001553;GO:0009888;GO:0030325;GO:0033327;GO:0042445;GO:0045893;GO:0051457;GO:0060008;GO:0001221;GO:0003682;GO:0003690;GO:0006366;GO:0009755;GO:0097210;GO:0097720;GO:2000020;GO:2000195;GO:0007530;GO:0000977;GO:0007538;GO:0030238;GO:0050810,Y,,N,Nr5a1,ENSMUSG00000026751
NR5A2,HGNC:7984,ENSG00000116833,confirmed,nuclear receptor subfamily 5 group A member 2,Nuclear receptor subfamily 5 group A,2080,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0003677;GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0004879;GO:0005515;GO:0005737;GO:0005634;GO:0046872;GO:0005694;GO:0030522;GO:0005654;GO:0008289;GO:0007283;GO:0045944;GO:0000978;GO:0006357;GO:0006338;GO:0005543;GO:0050728;GO:0042102;GO:0000981;GO:0000785;GO:0042592;GO:1990837;GO:0090575;GO:0050870;GO:0001221;GO:0045893;GO:0008206;GO:0042127;GO:0042632;GO:0061113;GO:0090425;GO:1990830;GO:0000976;GO:0001228;GO:0003682;GO:0003690;GO:0001545;GO:0001826;GO:0002669;GO:0009755;GO:0009792;GO:0009888;GO:0022008;GO:0031017;GO:0031948;GO:0032331;GO:0035019;GO:0040016;GO:0045070;GO:0051216;GO:0060009;GO:0097720;GO:0140001;GO:0141064;GO:2000738;GO:2001051,Y,,N,Nr5a2,ENSMUSG00000026398
NR6A1,HGNC:7985,ENSG00000148200,confirmed,nuclear receptor subfamily 6 group A member 1,Nuclear receptor subfamily 6 group A,2081,Approved,gene with protein product,Nuclear receptor,Known motif,Y,GO:0008270;GO:0006355;GO:0003700;GO:0043565;GO:0005634;GO:0046872;GO:0003677;GO:0030522;GO:0005654;GO:0042803;GO:0000122;GO:0006357;GO:1990837;GO:0005667;GO:0000981;GO:0000785;GO:0001217;GO:0000978;GO:0001228;GO:0007276;GO:0045944;GO:2000741;GO:0004879;GO:0034056;GO:0045892,Y,,N,Nr6a1,ENSMUSG00000063972
NRF1,,ENSG00000106459,confirmed,,Lambert TF Census (not in HGNC groups),,,,Unknown,Known motif,Y,GO:0003700;GO:0006357;GO:0005634;GO:0005829;GO:0005654;GO:0003677;GO:0005515;GO:0070062;GO:0000978;GO:0000981;GO:0001228;GO:0045944;GO:0042803,Y,,N,Nrf1,ENSMUSG00000058440
NRL,HGNC:8002,ENSG00000129535,lambert,neural retina leucine zipper,Large MAF bZIP transcription factor family,2264,Approved,gene with protein product,bZIP,Known motif,Y,GO:0003677;GO:0006355;GO:0003700;GO:0005634;GO:0005737;GO:0005829;GO:0005654;GO:0005515;GO:0045944;GO:0000978;GO:0000981;GO:0006357;GO:0007601;GO:0000785;GO:0001228;GO:1990837;GO:0043522;GO:0046548;GO:0010628;GO:1990841,Y,,N,Nrl,ENSMUSG00000040632
NTN1,,ENSG00000065320,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0005515;GO:0005737;GO:0005576;GO:0006915;GO:0005829;GO:0005654;GO:0015629;GO:0000978;GO:0000981;GO:0006357;GO:0007265;GO:0006930;GO:0032488;GO:0045773;GO:0061643;GO:0008283;GO:0014009;GO:0001764;GO:0007097;GO:0007409;GO:0007411;GO:0030334;GO:0030517;GO:0030879;GO:0033564;GO:0042472;GO:0060252;GO:0060603;GO:0097475;GO:0098609;GO:1903975;GO:0051963;GO:2000147;GO:0045202;GO:0098978;GO:0005604,Y,,N,Ntn1,ENSMUSG00000020902
NTN3,,ENSG00000162068,biomart,,BioMart GO:0003700 (not in HGNC groups),,,,,,,GO:0005515;GO:0005737;GO:0005576;GO:0000978;GO:0000981;GO:0006357;GO:0007409;GO:0007411;GO:0005102;GO:0005794,Y,,N,Ntn3,ENSMUSG00000117406
OLIG1,HGNC:16983,ENSG00000184221,confirmed,oligodendrocyte transcription factor 1,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0046983;GO:0005634;GO:0003677;GO:0005515;GO:0000981;GO:1990837;GO:0000785;GO:0045944;GO:0070888;GO:0007423;GO:0061564;GO:0048663;GO:0014003,Y,,N,Olig1,ENSMUSG00000046160
OLIG2,HGNC:9398,ENSG00000205927,confirmed,oligodendrocyte transcription factor 2,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0006355;GO:0003700;GO:0046983;GO:0030182;GO:0021778;GO:0042552;GO:0048709;GO:0005634;GO:0005737;GO:0003677;GO:0005515;GO:0000981;GO:1990837;GO:0000785;GO:0045944;GO:0070888;GO:0007423;GO:0061564;GO:0021953;GO:0000122;GO:0007399;GO:0021522;GO:0021529;GO:0021530;GO:0021794;GO:0045665;GO:0048663;GO:0048714;GO:0042802;GO:0071837,Y,,N,Olig2,ENSMUSG00000039830
OLIG3,HGNC:18003,ENSG00000177468,confirmed,oligodendrocyte transcription factor 3,Basic helix-loop-helix proteins,420,Approved,gene with protein product,bHLH,Known motif,Y,GO:0046983;GO:0005634;GO:0003677;GO:0005515;GO:0000981;GO:1990837;GO:0000785;GO:0045944;GO:0070888;GO:0007423;GO:0061564;GO:0000122;GO:0010468;GO:0021520;GO:0021522;GO:0097476,Y,,N,Olig3,ENSMUSG00000045591
ONECUT1,,ENSG00000169856,confirmed,,Lambert TF Census (not in HGNC groups),,,,CUT; Homeodomain,Known motif,Y,GO:0003677;GO:0005634;GO:0005654;GO:0000978;GO:0000981;GO:0006357;GO:0006355;GO:0000785;GO:1990837;GO:0001228;GO:0045944;GO:0007179;GO:0016477;GO:0001889;GO:0001952;GO:0002064;GO:0003309;GO:0003310;GO:0003311;GO:0006006;GO:0007219;GO:0007492;GO:0009653;GO:0030183;GO:0030335;GO:0030512;GO:0031016;GO:0031018;GO:0035883;GO:0045165;GO:0048536;GO:0060271;GO:0003682;GO:0003700,Y,,N,Onecut1,ENSMUSG00000043013
